name,type,value,date
河南,,7.253795747,1998
湖北,,7.298022904,1998
湖南,,7.287262302,1998
广东,,7.550179934,1998
广西,,6.794029303,1998
海南,,7.204835165,1998
重庆,,6.682630703,1998
四川,,6.827431105,1998
贵州,,5.726729006,1998
云南,,5.788595234,1998
西藏,,3.344993441,1998
陕西,,7.048622415,1998
甘肃,,6.06630956,1998
青海,,4.906215682,1998
宁夏,,6.540797356,1998
新疆,,7.464193324,1998
全国,,7.179317827,1999
北京,,9.981585678,1999
天津,,8.711131039,1999
河北,,7.463549855,1999
山西,,7.823092031,1999
内蒙古,,7.354239419,1999
辽宁,,8.183899097,1999
吉林,,8.228753916,1999
黑龙江,,7.824606057,1999
上海,,9.266690596,1999
江苏,,7.30201605,1999
浙江,,7.144385418,1999
安徽,,6.543307648,1999
福建,,6.774004179,1999
江西,,7.115783091,1999
山东,,6.824670714,1999
河南,,7.103447466,1999
湖北,,7.29041669,1999
湖南,,7.446928211,1999
广东,,7.612276319,1999
广西,,6.844629111,1999
海南,,7.251227131,1999
重庆,,6.875353389,1999
四川,,6.65572038,1999
贵州,,6.075769829,1999
云南,,5.819396988,1999
西藏,,2.947940244,1999
陕西,,7.144153471,1999
甘肃,,6.351674112,1999
青海,,5.967973124,1999
宁夏,,6.661965902,1999
新疆,,7.941631011,1999
全国,,7.11383,2000
北京,,9.58555,2000
天津,,8.5582,2000
河北,,7.26007,2000
山西,,7.3443,2000
内蒙古,,7.25954,2000
辽宁,,7.967338788,2000
吉林,,7.82499,2000
黑龙江,,7.80429,2000
上海,,8.96087,2000
江苏,,7.437704919,2000
浙江,,6.99876,2000
安徽,,6.47324,2000
福建,,7.0797,2000
江西,,6.914170812,2000
山东,,7.118605282,2000
河南,,7.1686,2000
湖北,,7.34803,2000
湖南,,7.31204,2000
广东,,7.406,2000
广西,,6.96979,2000
海南,,6.99506,2000
重庆,,6.73017,2000
四川,,6.52546,2000
贵州,,5.43834,2000
云南,,5.706776804,2000
西藏,,2.99846,2000
陕西,,7.188356734,2000
甘肃,,5.97763,2000
青海,,5.585636179,2000
宁夏,,6.3105,2000
新疆,,7.02776,2000
全国,,7.620715107,2001
北京,,9.987317404,2001
天津,,8.985095618,2001
河北,,7.739661233,2001
山西,,8.021986216,2001
内蒙古,,7.759228891,2001
辽宁,,8.409596109,2001
吉林,,8.239725381,2001
黑龙江,,8.250080266,2001
上海,,9.301542826,2001
江苏,,7.853284217,2001
浙江,,7.463003101,2001
安徽,,6.983700381,2001
福建,,7.49018929,2001
江西,,7.551599324,2001
山东,,7.583069809,2001
河南,,7.719250622,2001
湖北,,7.765142045,2001
湖南,,7.797698663,2001
广东,,8.074640718,2001
广西,,7.571300786,2001
海南,,7.675708746,2001
重庆,,7.275597914,2001
四川,,7.064812237,2001
贵州,,6.148260168,2001
云南,,6.33437784,2001
西藏,,3.429567153,2001
陕西,,7.712236352,2001
甘肃,,6.539342773,2001
青海,,6.115728699,2001
宁夏,,7.031389456,2001
新疆,,7.727056784,2001
全国,,7.734282426,2002
北京,,10.25908301,2002
天津,,9.150073514,2002
河北,,8.032658018,2002
山西,,8.245727345,2002
内蒙古,,7.87808059,2002
辽宁,,8.439762073,2002
吉林,,8.613686275,2002
黑龙江,,8.298969645,2002
上海,,9.594996445,2002
江苏,,7.588531839,2002
浙江,,7.675585052,2002
安徽,,6.98804686,2002
福建,,7.45671911,2002
江西,,7.479149782,2002
山东,,8.079493568,2002
河南,,8.076329467,2002
湖北,,7.342140753,2002
湖南,,7.910018719,2002
广东,,8.094372777,2002
广西,,7.621622847,2002
海南,,7.942802145,2002
重庆,,7.438399889,2002
四川,,7.286665915,2002
贵州,,6.732355181,2002
云南,,6.119204436,2002
西藏,,4.323358271,2002
陕西,,7.430419672,2002
甘肃,,6.780472454,2002
青海,,6.348433531,2002
宁夏,,7.392067877,2002
新疆,,8.366410538,2002
全国,,7.910923014,2003
北京,,10.34571534,2003
天津,,9.246806283,2003
河北,,8.378681045,2003
山西,,8.398327131,2003
内蒙古,,7.768417263,2003
辽宁,,8.920487756,2003
吉林,,8.702596996,2003
黑龙江,,8.409159201,2003
上海,,10.1256848,2003
江苏,,7.690378674,2003
浙江,,7.759995394,2003
安徽,,7.66341894,2003
福建,,7.58698012,2003
江西,,8.293247522,2003
山东,,7.851796621,2003
河南,,7.966754146,2003
湖北,,7.92014271,2003
湖南,,8.051480786,2003
广东,,8.008258258,2003
广西,,7.767870851,2003
海南,,8.19047619,2003
重庆,,7.669462856,2003
四川,,7.415849348,2003
贵州,,6.888705998,2003
云南,,6.040470443,2003
西藏,,3.87139324,2003
陕西,,8.111518431,2003
甘肃,,7.037603409,2003
青海,,6.72014223,2003
宁夏,,7.347495615,2003
新疆,,8.376187167,2003
全国,,8.009653452,2004
北京,,10.55858212,2004
天津,,9.644919108,2004
河北,,8.380216558,2004
山西,,8.383351948,2004
内蒙古,,8.169844729,2004
辽宁,,8.838822812,2004
吉林,,8.799203753,2004
黑龙江,,8.491928918,2004
上海,,10.11260401,2004
江苏,,7.807677242,2004
浙江,,7.950718258,2004
安徽,,7.487321644,2004
福建,,7.491805837,2004
江西,,7.983105913,2004
山东,,7.943890349,2004
河南,,8.219241591,2004
湖北,,8.096184163,2004
湖南,,8.157161858,2004
广东,,8.130140387,2004
广西,,8.015794357,2004
海南,,8.406071331,2004
重庆,,7.246582526,2004
四川,,7.454435116,2004
贵州,,6.981641313,2004
云南,,6.81568067,2004
西藏,,4.397052804,2004
陕西,,8.262430049,2004
甘肃,,7.235876773,2004
青海,,6.801794283,2004
宁夏,,7.702613746,2004
新疆,,8.48506994,2004
全国,,7.830814275,2005
北京,,10.68579576,2005
天津,,9.512898561,2005
河北,,8.169493428,2005
山西,,8.417131018,2005
内蒙古,,8.223355986,2005
辽宁,,8.746091776,2005
吉林,,8.468291542,2005
黑龙江,,8.45998167,2005
上海,,10.0257261,2005
江苏,,8.13395447,2005
浙江,,7.613714694,2005
安徽,,7.038595091,2005
福建,,7.542981633,2005
江西,,7.531329865,2005
山东,,7.721856794,2005
河南,,7.98551266,2005
湖北,,7.822280993,2005
湖南,,7.990917261,2005
广东,,8.364960424,2005
广西,,7.659452627,2005
海南,,8.108647603,2005
重庆,,7.391844695,2005
四川,,6.837249004,2005
贵州,,6.418152299,2005
云南,,6.377819318,2005
西藏,,3.738414412,2005
陕西,,8.062368298,2005
甘肃,,6.860003937,2005
青海,,6.758106405,2005
宁夏,,7.374940793,2005
新疆,,8.20328553,2005
全国,,8.040059704,2006
北京,,10.95010531,2006
天津,,9.729238382,2006
河北,,8.130103841,2006
山西,,8.696537609,2006
内蒙古,,8.192155743,2006
辽宁,,8.922414252,2006
吉林,,8.659701741,2006
黑龙江,,8.531964412,2006
上海,,10.43824154,2006
江苏,,8.252660819,2006
浙江,,8.060192914,2006
安徽,,7.337275647,2006
福建,,7.726284971,2006
江西,,7.712016327,2006
山东,,8.093669978,2006
河南,,8.054004719,2006
湖北,,8.257995355,2006
湖南,,8.168765973,2006
广东,,8.437813789,2006
广西,,8.033943411,2006
海南,,8.168986363,2006
重庆,,7.573392063,2006
四川,,7.242265601,2006
贵州,,6.59396089,2006
云南,,6.662577009,2006
西藏,,4.160525201,2006
陕西,,8.29884742,2006
甘肃,,6.777379371,2006
青海,,6.992721045,2006
宁夏,,7.625147348,2006
新疆,,8.295374079,2006
全国,,8.185996522,2007
北京,,11.08531178,2007
天津,,9.807712514,2007
河北,,8.167016842,2007
山西,,8.778324282,2007
内蒙古,,8.356835564,2007
辽宁,,8.987017469,2007
吉林,,8.776382961,2007
黑龙江,,8.697411485,2007
上海,,10.45459596,2007
江苏,,8.433078742,2007
浙江,,8.105652635,2007
安徽,,7.244981996,2007
福建,,7.746832144,2007
江西,,8.246701703,2007
山东,,8.225511396,2007
河南,,8.182659754,2007
湖北,,8.423363828,2007
湖南,,8.419651156,2007
广东,,8.68016119,2007
广西,,8.032478889,2007
海南,,8.324695335,2007
重庆,,7.723965177,2007
四川,,7.433568311,2007
贵州,,6.843053684,2007
云南,,6.785055278,2007
西藏,,4.617659309,2007
陕西,,8.400391701,2007
甘肃,,7.064400319,2007
青海,,7.178670656,2007
宁夏,,7.821965996,2007
新疆,,8.511337609,2007
全国,,8.269873305,2008
北京,,10.96959221,2008
天津,,9.877548919,2008
河北,,8.35792042,2008
山西,,8.810585725,2008
内蒙古,,8.369250795,2008
辽宁,,9.078377009,2008
吉林,,8.890183169,2008
黑龙江,,8.700886931,2008
上海,,10.5454212,2008
江苏,,8.44295077,2008
浙江,,8.238190424,2008
安徽,,7.440297782,2008
福建,,7.803859371,2008
江西,,8.255454042,2008
山东,,8.275060084,2008
河南,,8.335830212,2008
湖北,,8.48550887,2008
湖南,,8.432772876,2008
广东,,8.77292365,2008
广西,,7.983176346,2008
海南,,8.345297205,2008
重庆,,7.786963765,2008
四川,,7.514706936,2008
贵州,,7.045552322,2008
云南,,6.901843233,2008
西藏,,4.711530398,2008
陕西,,8.512365192,2008
甘肃,,7.166337256,2008
青海,,7.25586905,2008
宁夏,,8.127968597,2008
新疆,,8.555796688,2008
全国,,8.379648456,2009
北京,,11.17256699,2009
天津,,10.05154946,2009
河北,,8.42493789,2009
山西,,8.876429568,2009
内蒙古,,8.494596188,2009
辽宁,,9.237281721,2009
吉林,,8.902767036,2009
黑龙江,,8.745699717,2009
上海,,10.64690722,2009
江苏,,8.546052325,2009
浙江,,8.404337651,2009
安徽,,7.621315327,2009
福建,,8.346369465,2009
江西,,8.522894132,2009
山东,,8.312774827,2009
河南,,8.38743469,2009
湖北,,8.488682313,2009
湖南,,8.465346161,2009
广东,,8.8717086,2009
广西,,8.09566654,2009
海南,,8.436929224,2009
重庆,,7.934099358,2009
四川,,7.693972767,2009
贵州,,7.081504702,2009
云南,,6.905297591,2009
西藏,,4.547789474,2009
陕西,,8.584544566,2009
甘肃,,7.291109899,2009
青海,,7.447928086,2009
宁夏,,8.216604367,2009
新疆,,8.658009403,2009
全国,,8.2103,2010
北京,,11.00918223,2010
天津,,9.731821814,2010
河北,,8.168005173,2010
山西,,8.65596,2010
内蒙古,,8.503004422,2010
辽宁,,9.0529,2010
吉林,,8.83607,2010
黑龙江,,8.75161,2010
上海,,10.12173366,2010
江苏,,8.59829843,2010
浙江,,8.15067,2010
安徽,,7.46254,2010
福建,,8.20068,2010
江西,,7.776099613,2010
山东,,8.171995887,2010
河南,,7.877,2010
湖北,,8.455295769,2010
湖南,,8.230220499,2010
广东,,8.60241,2010
广西,,7.66984,2010
海南,,8.12365,2010
重庆,,7.964141196,2010
四川,,7.635373602,2010
贵州,,6.763945618,2010
云南,,7.00608,2010
西藏,,4.756744675,2010
陕西,,8.598954323,2010
甘肃,,7.484993564,2010
青海,,7.029427791,2010
宁夏,,7.77686,2010
新疆,,8.14458,2010
全国,,8.845671233,2011
北京,,11.55496938,2011
天津,,10.39994555,2011
河北,,8.665867884,2011
山西,,9.152931827,2011
内蒙古,,9.226929803,2011
辽宁,,9.46705286,2011
吉林,,9.10101507,2011
黑龙江,,9.114799181,2011
上海,,10.48339676,2011
江苏,,9.162672339,2011
浙江,,8.820353181,2011
安徽,,8.248305607,2011
福建,,8.829716646,2011
江西,,8.736652464,2011
山东,,8.672695358,2011
河南,,8.70445289,2011
湖北,,9.04717902,2011
湖南,,8.807087448,2011
广东,,9.333126277,2011
广西,,8.610941575,2011
海南,,8.879620161,2011
重庆,,8.77935214,2011
四川,,8.216530904,2011
贵州,,7.588658766,2011
云南,,7.68604556,2011
西藏,,5.510828025,2011
陕西,,8.951921156,2011
甘肃,,8.154231761,2011
青海,,7.784238886,2011
宁夏,,8.389098117,2011
新疆,,9.177034884,2011
全国,,8.942381891,2012
北京,,11.83632273,2012
天津,,10.51167785,2012
河北,,8.709870353,2012
山西,,9.381534451,2012
内蒙古,,9.230380651,2012
辽宁,,9.898007832,2012
吉林,,9.254690582,2012
