name,Type,value,date
"Chattanooga, Tennessee",Fairchild FC-2,4,1928
"Reims, France",Bl¨¦riot Spad 66,2,1928
"Stafford Springs, Connecticut",Fairchild FC-2,1,1929
"Cove, Oregon",Stearman C-38,1,1929
"Near Corfu, Greece",CMASA Wal,2,1929
"Morgantown, West Virginia",Travel Air 4000,1,1929
Off Morocco,Latecoere 26,2,1929
"Newark, New Jersey",Ford 5-AT-B Tri Motor,14,1929
"Near Beaumont, California",Fokker F-VIIA,4,1929
"San Diego, California",Ford 5-AT-B Tri-Motor / B-PW-9D,6,1929
Hungary,Fokker F-III,2,1929
Algiers,Cams 53,4,1929
"Santiago de Cuba, Cuba",Fokker F-X,2,1929
"Barcelona, Spain",Breguet 14,1,1929
"Off Dungeness, England",Handley Page W-10,7,1929
"St. Paul, Minnesota",Ford 5-AT-B Tri-Motor,1,1929
"Lake Constance, Switzerland",Domier Delphin III,5,1929
"Columbus, Ohio",Travel Air 4000,1,1929
"Clovis, New Mexico",Lockheed Vega,4,1929
"Perpignan, France",Breguet 14,1,1929
"Sochi, Russia",Kalinin K-4,1,1929
"Elm, Germany",Fokker FG II,4,1929
"Needles, California",Lockheed Vega,1,1929
"Mt. Taylor, New Mexico",Ford 5-AT-B Tri Motor,8,1929
"Jask, Iran",de Havilland DH-66 Hercules,3,1929
"Off Larache, Morocco",Latecoere 25-3-R,5,1929
"Jacumba, California",Fairchild 71,1,1929
"Mt Lamentation, Connecticut",Pitcairn PA-6 Mailwing,1,1929
"Off Spezia, Italy",Short Calcutta,7,1929
"Mount Vernon, Ohio",Stearman C-38,1,1929
"Off Bremerton, Washington",Loening C-2C,2,1929
"Cerro del Carbon, Mexico",Lockheed Vega 5,4,1929
"Near Godstone, Surrey, England",Junkers G-24,7,1929
"Off Corsica, France",Liore et Olivier 190,3,1929
"Vancouver, Washington",Stearman M-2 Speedmail,1,1929
"Chagrin Falls, Ohio",Douglas M-3,1,1929
Mediterranean Sea,Bernard 192,3,1929
"Near Berlin, Germany",Arado V1,2,1929
"Amarillo, Texas",Travel Air B6000,5,1929
"Brawnson, Nebraska",Boeing 95,1,1930
"Antananarivo, Madagascar",Farman 190,3,1930
"Oceanside, California",Ford 5-AT-C Tri Motor,16,1930
"Off Ceuta, Spain",Latecoere 25,2,1930
"Kansas City, Kansas",Travel Air A6000A,5,1930
"Hartford, Connecticut",Pitcairn PA-6 Mailwing,1,1930
"Marden, England",Farman F-63,2,1930
"Jersey City, New Jersey",Fairchild 71,4,1930
Buenos Aires,Latecoere 28,3,1930
"Boston, Massachusetts",Ford Tri-Motor 5,1,1930
"Bornholm, Denmark",Dornier Wal,5,1930
"Arkansas Pass, Texas",Lockheed Vega 5,5,1930
"Iglau, Czechoslovakia",Ford 5-AT-C Tri Motor,10,1930
"Croydon, England",Sabca F-VII,2,1930
"Southesk, Saskatchewan, Canada",,3,1930
"Near Beauvais, France",Royal Airship Works R-101,48,1930
"Dresden, Germany",Messerschmitt M-20B,8,1930
"La Rache, Morocco",Latecoere 28,4,1930
"Prince Rupert, BC, Canada",Lockheed Vega,3,1930
"Near Neufchatel, France",Handley Page W-8,3,1930
"Brookston, Indiana",Pitcairn PA-6 Mailwing,1,1930
"Off of Santos, Brazil",Junkers G-24,1,1930
"Techachapi Mountains, California",Boeing 40,3,1930
"Shanghai, China",Loening C-W Air Yaht,4,1930
"Melle, Belgium",Fokker F-VII,2,1931
"Bluff Mountain, Washington",Boeing 40,1,1931
"Wairoa, New Zealand",Desoutter II,1,1931
"Bagot, Manitoba, Canada",Fokker Universal F-14,2,1931
Off Spain,Latecoere 32,1,1931
"New South Wales, Australia",Avro 10,8,1931
"Bazaar, Kansas",Fokker F10A Trimotor,8,1931
"Near Letschen, Germany",Messerschmitt M-20,2,1931
"Burbank, California",Boeing 40,2,1931
"Wampit, Australia",Junkers W-34,1,1931
"Bellefonte, Pennsylvania",Boeing 95,1,1931
"Near Sandoway, Burma",Fokker F-VIIB,4,1931
"Walbridge, Ohio",Lockheed Vega 2,2,1931
"Saarbrucken, Germany",Dornier Merkur,4,1931
"Chicago, Illinois",Lockheed Vega,2,1931
"Temora, Australia",Lasco Lascowl,2,1931
"Centralia, Illinois",Pitcairn PA-6 Mailwing,1,1931
"Kurudjevo, Bulgaria",Fokker F-VII,7,1931
"Cincinnati, Ohio",Ford 5-AT-C Tri Motor,6,1931
"Chicago, Illinois",Lockheed Vega,1,1931
"Oakland, California",Boeing 40,4,1931
"Novia Scotia, Canada",Heinkel HE-2,3,1931
Brazil,Dornier Wal,3,1931
"Camden, New Jersey",Lockheed Orion 9,5,1931
"Sir Lowry's pass, South Africa",De Havilland DH.80,3,1931
"Salt Lake City, Utah",Boeing 40,1,1931
"Near Tsinan, China",Stinson,3,1931
"Pasco, Washington",Boeing 40,1,1931
"Kewanee, Illinois",Lockheed Vega 5,2,1931
"Bangkok, Thailand",Fokker F-VIIb-3M,5,1931
Off Algiers,CAMS 56,2,1931
"Springfield, Ohio",Fairchild Pilgrim 100A,4,1931
"Colvin Park, Ilinois",Stinson SM-2A,1,1932
"Lebec, California",Stinson SM-6000B,8,1932
"Off Miami, Florida",Fairchild,5,1932
"Marcellus, Michigan",Stearman C-3MB,1,1932
"Rio Vista, California",Boeing 40,1,1932
"Off Setiba, Brazil",Latecoere 28,3,1932
"Saint Louis, Illinois",Stinson SM-6000B,2,1932
"Calimesa, California",Fokker F-10A,7,1932
"Steubenville, Ohio",Northrop Alpha,1,1932
Syria,Farman F-190,3,1932
"Bedford, Ohio",Boeing 95,1,1932
"Fort Wayne, Indiana",Stearman C-3MB,1,1932
"Portland, Oregon",Boeing 40,2,1932
"Burbank, California",Boeing 40,3,1932
"Mount El Plomo, near Vitacura, Chile",Ford 5-AT-C Tri Motor,9,1932
"Beyrouth, Lebanon",CAMS 53,1,1932
"Tubergen, Germany",Junkers G-23,2,1932
"Salt Flats, Texas",Fokker F-10,3,1932
"Selsdon Park, England",Liore-et-Olivier 213,1,1932
"Byron Bay, Australia",De Havilland DH-80,3,1932
"Port Etienne, Mauritania",Latecoere 28,1,1932
"Villa Monte, Bolivia",Ford Tri-motor 5,2,1932
"Ramsgate, England",Junkers W-33,2,1932
"Echterpfuhl, Germany",Junkers F-13,5,1932
"Marianna, Arkansas",Travel Air 6000,2,1932
"Amarillo, Texas",Ford 5,2,1932
"Rocky Ridge, Colorado",Boeing 40,1,1932
"Wau, Australia",De Havilland DH-60,2,1932
Algiers,CAMS 53,1,1933
"Newark, New Jersey",Curtiss Condor 18,2,1933
"Marietta, Georgia",Stearman 4,1,1933
"Bourne, Texas",Stearman 4,1,1933
"Eugene, Oregon",Ford 5-AT-D,1,1933
"Near Mendoza, Argentina",Fairchild FC-2W,2,1933
"Hayward, California",Lockheed Orion 9,3,1933
"Near Dixmude, Belgium",Armstrong Whitworth Argosy II,15,1933
"Hemkenrode, Germany",Junkers F-13,1,1933
"Off Barnegat, New Jersey",Goodyear-Zeppelin U.S.S. Akron (airship),73,1933
"Mt. Terrione, Italy",Cams 33,6,1933
"Traunstein, Germany",Junkers W-34,4,1933
"Viladrau, Spain",Latecoere 28-1,6,1933
"Bowling Green, Virginia",Pitcairns PA-6,1,1933
"Quay, New Mexico",Ford 5-AT-B Tri Motor,5,1933
